Conforming Fixed 15 (CF15)
	15	30	45	60	75	90	
2.750	0.869	0.931	0.998	1.061		1.436	
2.875	0.317	0.380	0.446	0.509		0.884	
2.990	-0.154	-0.092	-0.025	0.037		0.412	
3.000	-0.247	-0.193	-0.138	-0.080		0.295	
3.125	-0.744	-0.689	-0.634	-0.576		-0.201	
3.250	-1.345	-1.283	-1.216	-1.153		-0.778	
3.375	-1.795	-1.733	-1.666	-1.608		-1.233	
3.500	-2.289	-2.226	-2.164	-2.097		-1.722	
3.625	-2.758	-2.696	-2.633	-2.567		-2.192	
3.750	-3.280	-3.218	-3.155	-3.089		-2.714	
3.875	-3.691	-3.629	-3.566	-3.499		-3.124	
3.990	-4.018	-3.955	-3.893	-3.826		-3.451	
4.000	-3.861	-3.799	-3.736	-3.670		-3.295	
4.125	-4.165	-4.079	-3.993	-3.901		-3.526	
4.250	-4.632	-4.546	-4.460	-4.369		-3.994	
4.375	-5.003	-4.917	-4.831	-4.739		-4.364	
4.500	-5.302	-5.216	-5.130	-5.038		-4.663	
Conforming Fixed 30 (CF30)
	15	30	45	60	75	90	
3.250	2.969	3.047	3.130	3.209		3.584	
3.375	2.043	2.121	2.205	2.283		2.658	
3.450	1.552	1.630	1.713	1.791		2.166	
3.500	1.151	1.229	1.312	1.390		1.765	
3.550	0.841	0.912	0.987	1.057		1.432	
3.625	0.313	0.384	0.459	0.529		0.904	
3.700	-0.153	-0.083	-0.008	0.062		0.437	
3.750	-0.423	-0.352	-0.277	-0.207		0.168	
3.800	-0.695	-0.624	-0.549	-0.479		-0.104	
3.875	-1.062	-0.992	-0.917	-0.846		-0.471	
3.950	-1.441	-1.371	-1.296	-1.226		-0.851	
3.990	-1.608	-1.538	-1.463	-1.392		-1.017	
4.000	-1.732	-1.638	-1.538	-1.445		-1.070	
4.050	-1.984	-1.890	-1.790	-1.696		-1.321	
4.125	-2.379	-2.286	-2.186	-2.092		-1.717	
4.200	-2.731	-2.638	-2.538	-2.444		-2.069	
4.250	-2.955	-2.862	-2.762	-2.668		-2.293	
4.300	-3.181	-3.088	-2.988	-2.894		-2.519	
4.375	-3.524	-3.430	-3.330	-3.237		-2.862	
4.450	-3.846	-3.753	-3.653	-3.559		-3.184	
4.500	-4.029	-3.935	-3.835	-3.741		-3.366	
4.550	-4.249	-4.155	-4.055	-3.962		-3.587	
4.625	-4.591	-4.497	-4.397	-4.303		-3.928	
4.700	-4.906	-4.812	-4.712	-4.619		-4.244	
4.750	-5.107	-5.013	-4.913	-4.819		-4.444	
4.800	-5.308	-5.215	-5.115	-5.021		-4.646	
4.875	-5.610	-5.517	-5.417	-5.323		-4.948	
4.950	-5.900	-5.806	-5.706	-5.613		-5.238	
4.990	-6.010	-5.917	-5.817	-5.723		-5.348	
5.000	-5.987	-5.893	-5.793	-5.724		-5.349	
5.050	-6.105	-6.058	-6.008	-5.961		-5.586	
5.125	-6.446	-6.400	-6.350	-6.303		-5.928	
5.200	-6.801	-6.754	-6.704	-6.657		-6.282	
5.250	-6.966	-6.919	-6.869	-6.822		-6.447	
5.300	-7.135	-7.088	-7.038	-6.991		-6.616	
5.375	-7.353	-7.306	-7.256	-7.229		-6.854	
5.500	-7.752	-7.733	-7.733	-7.733		-7.358	
Conforming Fixed 10 (CF10)
	15	30	45	60	75	90	
2.750	0.204	0.266	0.333	0.395		0.770	
2.875	-0.159	-0.096	-0.029	0.033		0.408	
2.990	-0.470	-0.407	-0.340	-0.278		0.097	
3.000	-0.512	-0.457	-0.402	-0.344		0.031	
3.125	-0.911	-0.856	-0.802	-0.743		-0.368	
3.250	-1.713	-1.650	-1.584	-1.521		-1.146	
3.375	-2.015	-1.952	-1.886	-1.823		-1.448	
3.500	-2.343	-2.281	-2.218	-2.152		-1.777	
3.625	-2.731	-2.669	-2.606	-2.540		-2.165	
3.750	-3.153	-3.090	-3.028	-2.963		-2.588	
3.875	-3.516	-3.454	-3.391	-3.325		-2.950	
3.990	-3.830	-3.767	-3.705	-3.638		-3.263	
4.000	-3.808	-3.722	-3.636	-3.544		-3.169	
4.125	-4.177	-4.091	-4.005	-3.913		-3.538	
4.250	-4.558	-4.472	-4.386	-4.294		-3.919	
4.375	-4.894	-4.808	-4.722	-4.630		-4.255	
4.500	-5.195	-5.109	-5.023	-4.932		-4.557	
Conforming Fixed 20 (CF20)
	15	30	45	60	75	90	
3.250	0.941	1.020	1.103	1.181		1.556	
3.375	0.220	0.298	0.381	0.460		0.835	
3.500	-0.546	-0.468	-0.385	-0.306		0.069	
3.625	-1.190	-1.120	-1.045	-0.975		-0.600	
3.750	-1.824	-1.754	-1.679	-1.609		-1.234	
3.875	-2.388	-2.318	-2.243	-2.173		-1.798	
3.990	-2.800	-2.729	-2.654	-2.584		-2.209	
4.000	-2.848	-2.778	-2.703	-2.632		-2.257	
4.125	-3.098	-3.005	-2.905	-2.811		-2.436	
4.250	-3.689	-3.603	-3.519	-3.441		-3.066	
4.375	-4.246	-4.168	-4.085	-4.007		-3.632	
4.500	-4.782	-4.704	-4.621	-4.542		-4.167	
4.625	-5.377	-5.284	-5.184	-5.090		-4.715	
4.750	-5.916	-5.822	-5.722	-5.628		-5.253	
4.875	-6.406	-6.312	-6.212	-6.118		-5.743	
4.990	-6.740	-6.646	-6.546	-6.453		-6.078	
5.000	-6.720	-6.626	-6.526	-6.432		-6.057	
5.125	-6.620	-6.565	-6.507	-6.452		-6.077	
5.250	-7.054	-7.007	-6.957	-6.911		-6.536	
Conforming 10/1 LIBOR ARM (CL10)
	15	30	45	60	75	90	
2.875	2.548	2.704	2.861	3.017		3.392	
